latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.07737,134.92758,340.72,0.39,0.36,2025-03-05,431,N,VIIRS,n,2,292.91,4.02,D,0
-1.14502,136.03639,310.32,0.4,0.37,2025-03-08,1615,N,VIIRS,n,2,291.46,1.25,N,2
