latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-1.0978,134.94148,339.97,0.4,0.37,2026-08-31,442,N,VIIRS,n,2.0NRT,298.01,3.99,D
-1.04986,134.96928,333.34,0.48,0.4,2026-09-01,423,N,VIIRS,n,2.0NRT,299.19,6.4,D
-1.04801,134.9716,336.15,0.48,0.4,2026-09-01,423,N,VIIRS,l,2.0NRT,297.87,6.68,D
-0.96721,134.89011,341.53,0.49,0.4,2026-09-01,423,N,VIIRS,n,2.0NRT,297.97,6.2,D
-1.1889,136.13589,327.83,0.54,0.51,2026-09-02,404,N,VIIRS,n,2.0NRT,297.11,5.53,D
-1.16924,136.15459,327.89,0.54,0.51,2026-09-02,404,N,VIIRS,n,2.0NRT,296.9,4.77,D
-1.17245,136.13441,334.99,0.57,0.69,2026-09-03,347,N,VIIRS,n,2.0NRT,293.02,4.74,D
-1.1702,136.19571,331.09,0.56,0.69,2026-09-03,347,N,VIIRS,n,2.0NRT,288.56,2.71,D
-1.1699,136.19209,331.55,0.56,0.69,2026-09-03,347,N,VIIRS,n,2.0NRT,291.37,3.03,D
