latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-1.12588,136.03391,340.89,0.44,0.63,2026-07-22,351,N,VIIRS,n,2.0NRT,290.77,7.36,D
-1.1251,136.034,336.9,0.44,0.63,2026-07-22,351,N,VIIRS,n,2.0NRT,289.45,5.08,D
-1.14438,136.03387,317.42,0.39,0.36,2026-07-22,1633,N,VIIRS,n,2.0NRT,293.32,1.85,N
-1.10092,136.0676,327.91,0.45,0.63,2026-07-23,512,N,VIIRS,n,2.0NRT,294.96,4.19,D
-1.14444,136.03323,311.7,0.53,0.42,2026-07-23,1613,N,VIIRS,n,2.0NRT,292.4,1.66,N
-1.16189,136.18515,335.36,0.43,0.46,2026-07-24,453,N,VIIRS,n,2.0NRT,298.28,3.66,D
-1.14648,136.07697,331.64,0.39,0.36,2026-07-25,436,N,VIIRS,n,2.0NRT,297.02,1.61,D
-1.03022,134.80695,332.18,0.39,0.36,2026-07-25,436,N,VIIRS,n,2.0NRT,299.86,2.7,D
