latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.10585,135.99066,330.44,0.34,0.56,2023-10-06,455,N20,VIIRS,n,2,292.46,2.93,D,0
-1.06834,135.86487,341.43,0.33,0.55,2023-10-06,455,N20,VIIRS,n,2,291.64,2.78,D,0
-1.0648,135.86589,333.07,0.33,0.55,2023-10-06,455,N20,VIIRS,n,2,291.58,2.18,D,0
-1.04834,135.95265,328.72,0.44,0.46,2023-10-09,359,N20,VIIRS,n,2,294.28,2.42,D,0
-0.82043,135.916,331.83,0.44,0.46,2023-10-09,359,N20,VIIRS,n,2,295.86,3.67,D,0
