latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.1267,135.9671,314.6,2.7,1.6,2023-10-29,124,Terra,MODIS,35,61.03,291.3,35.5,D,0
-1.1222,135.9744,312.9,2.7,1.6,2023-10-29,124,Terra,MODIS,46,61.03,291.5,34.2,D,0
