latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-0.9378,136.0206,310.8,1,1,2024-06-02,501,Aqua,MODIS,40,61.03,293.8,5,D,0
-0.9288,136.0193,311.3,1,1,2024-06-02,501,Aqua,MODIS,46,61.03,294,5.2,D,0
