latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.16341,136.1815,332.73,0.35,0.57,2023-11-16,346,N20,VIIRS,n,2,298.63,4.54,D,0
-1.16651,136.18903,342.37,0.43,0.38,2023-11-19,430,N20,VIIRS,n,2,301.79,4.28,D,0
-1.13711,136.05592,338.81,0.42,0.38,2023-11-19,430,N20,VIIRS,n,2,298.57,4.48,D,0
-1.1331,136.03595,347.68,0.42,0.38,2023-11-19,430,N20,VIIRS,n,2,295.7,19.63,D,0
-1.13022,136.03166,349.17,0.42,0.38,2023-11-19,430,N20,VIIRS,n,2,301.74,15.89,D,0
-1.12964,136.03545,346.67,0.42,0.38,2023-11-19,430,N20,VIIRS,n,2,297.99,10.13,D,0
-1.12677,136.03116,343.5,0.42,0.38,2023-11-19,430,N20,VIIRS,n,2,298.18,15.89,D,0
-1.11458,136.06422,349.71,0.42,0.38,2023-11-19,430,N20,VIIRS,n,2,301.12,12.31,D,0
-0.94115,136.01031,332.29,0.42,0.38,2023-11-19,430,N20,VIIRS,n,2,297.78,3.3,D,0
