latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-1.15348,136.22128,334.73,0.43,0.38,2024-11-01,432,N21,VIIRS,n,2.0NRT,296.86,3.84,D
-1.14665,136.03358,332.7,0.42,0.38,2024-11-01,432,N21,VIIRS,n,2.0NRT,297.58,5.77,D
-1.14145,136.09064,342.3,0.42,0.38,2024-11-01,432,N21,VIIRS,n,2.0NRT,297.45,3.29,D
-1.07584,135.85434,331.02,0.42,0.37,2024-11-01,432,N21,VIIRS,n,2.0NRT,295.84,4.4,D
-0.93471,136.02078,331.08,0.42,0.38,2024-11-01,432,N21,VIIRS,n,2.0NRT,294.41,2.67,D
