latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.10157,135.91835,331.77,0.41,0.45,2023-11-13,442,N20,VIIRS,n,2,298.92,3.22,D,0
-1.00846,136.06644,339.99,0.42,0.45,2023-11-13,443,N20,VIIRS,n,2,298.07,4.07,D,0
-0.90327,136.01984,330.05,0.42,0.45,2023-11-13,443,N20,VIIRS,n,2,297.36,3.1,D,0
-1.14992,136.17892,336.4,0.39,0.36,2023-11-14,424,N20,VIIRS,n,2,297.82,3.72,D,0
-1.07998,135.87791,340.55,0.39,0.36,2023-11-14,424,N20,VIIRS,n,2,298.35,18.69,D,0
