latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-1.16804,136.19864,326.27,0.34,0.56,2026-08-28,357,N,VIIRS,n,2.0NRT,293.21,2.44,D
-1.15579,136.17471,329.99,0.34,0.56,2026-08-28,357,N,VIIRS,n,2.0NRT,290.4,2.17,D
-1.15532,136.17778,326.44,0.34,0.56,2026-08-28,357,N,VIIRS,n,2.0NRT,291.83,2.17,D
-1.12696,136.04866,335.77,0.35,0.57,2026-08-28,357,N,VIIRS,n,2.0NRT,288.32,5.79,D
-1.0978,134.94148,339.97,0.4,0.37,2026-08-31,442,N,VIIRS,n,2.0NRT,298.01,3.99,D
-1.04986,134.96928,333.34,0.48,0.4,2026-09-01,423,N,VIIRS,n,2.0NRT,299.19,6.4,D
-1.04801,134.9716,336.15,0.48,0.4,2026-09-01,423,N,VIIRS,l,2.0NRT,297.87,6.68,D
-0.96721,134.89011,341.53,0.49,0.4,2026-09-01,423,N,VIIRS,n,2.0NRT,297.97,6.2,D
