latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.17936,136.11501,332.65,0.39,0.36,2026-04-15,425,N,VIIRS,n,2,302.34,2.44,D,0
-1.12443,136.07095,342.69,0.39,0.36,2026-04-15,425,N,VIIRS,n,2,302.87,2.8,D,0
-1.12108,136.07043,329.18,0.39,0.36,2026-04-15,425,N,VIIRS,n,2,300.34,2.8,D,0
-1.13638,136.03436,356.97,0.43,0.46,2026-04-16,406,N,VIIRS,n,2,299.88,19.88,D,0
-1.0643,135.86005,327.4,0.46,0.64,2026-04-17,348,N,VIIRS,n,2,289.11,3.63,D,0
-1.14506,136.03423,306.62,0.39,0.36,2026-04-17,1629,N,VIIRS,n,2,290.4,0.98,N,0
