latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-1.18718,136.13129,349.92,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,306.52,7.37,D
-1.18659,136.13512,345.24,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,307.23,29.77,D
-1.18483,136.14641,345.67,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,307.28,7.22,D
-1.18425,136.15016,367,0.42,0.45,2026-08-22,410,N,VIIRS,h,2.0NRT,311.27,10.57,D
-1.18367,136.15388,337.71,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,303.37,10.57,D
-1.18299,136.13068,338.89,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,305.26,7.37,D
-1.1824,136.13445,357.16,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,313.3,29.77,D
-1.18182,136.13823,354.95,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,316.57,29.77,D
-1.18124,136.14198,339.79,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,305.44,7.22,D
-1.18065,136.14575,329.1,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,303.2,7.22,D
-1.18007,136.14951,341.25,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,302,10.57,D
-1.18002,136.09436,331.56,0.42,0.45,2026-08-22,410,N,VIIRS,l,2.0NRT,306.25,3.31,D
-1.1788,136.13004,345.72,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,308.3,11.4,D
-1.17822,136.1338,356.25,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,306.81,12.96,D
-1.17764,136.13754,351.37,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,303.33,12.96,D
-1.17706,136.1413,341.89,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,304.48,8.41,D
-1.17647,136.14508,340.4,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,302.42,8.41,D
-1.17461,136.12936,352.32,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,307.11,11.4,D
-1.17403,136.13312,343.96,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,304.48,12.96,D
-1.17345,136.13687,335.95,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,302.77,12.96,D
-1.16507,136.13564,355.91,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,306.56,14.91,D
-1.16449,136.13942,339,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,301.24,9.24,D
-1.15423,136.23381,350.66,0.41,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,305.58,7.31,D
-1.15135,136.25252,328.76,0.41,0.45,2026-08-22,410,N,VIIRS,l,2.0NRT,303.55,2.69,D
-1.15103,136.0589,336.27,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,304.52,3.8,D
-1.15065,136.22945,345.19,0.42,0.45,2026-08-22,410,N,VIIRS,n,2.0NRT,303.43,7.31,D
-1.14856,136.04678,335.93,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,305.99,3,D
-1.14115,136.01019,344.97,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,304.32,6.33,D
-1.13761,136.03369,343.1,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,304.02,5.26,D
-1.13249,135.98155,343.1,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,306.1,10.23,D
-1.1286,136.03625,339.48,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,306.78,9.1,D
-1.12743,136.04401,341.22,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,304.43,90.55,D
-1.12496,136.0318,343.64,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,305.79,6.25,D
-1.12438,136.03563,339.62,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,305.43,6.25,D
-1.1238,136.03949,353.66,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,304.99,12.43,D
-1.12035,136.06248,342.85,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,301.92,6.89,D
-1.11457,135.95915,340.58,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,304.13,4.86,D
-1.11424,135.95868,329.39,0.43,0.46,2026-08-22,410,N,VIIRS,l,2.0NRT,303.32,6.43,D
-1.1123,136.02991,329.74,0.43,0.46,2026-08-22,410,N,VIIRS,l,2.0NRT,302.72,4.4,D
-1.11211,136.03021,332.15,0.43,0.46,2026-08-22,410,N,VIIRS,l,2.0NRT,303.16,4,D
-1.10792,135.9462,331.89,0.43,0.46,2026-08-22,410,N,VIIRS,l,2.0NRT,304.87,4.97,D
-1.10489,135.9935,339.04,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,301.7,5.2,D
-1.10003,135.91304,333.94,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,303.92,6.65,D
-1.09945,135.94485,341.98,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,302.44,8.21,D
-1.09942,135.91696,341.14,0.43,0.46,2026-08-22,410,N,VIIRS,n,2.0NRT,304.29,7.53,D
