latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-1.13539,136.04289,329.21,0.51,0.41,2026-08-27,417,N,VIIRS,n,2.0NRT,294.44,2.18,D
-1.12339,136.02911,329.52,0.51,0.41,2026-08-27,417,N,VIIRS,n,2.0NRT,293.4,2.56,D
-1.12155,136.03127,332.28,0.52,0.41,2026-08-27,417,N,VIIRS,n,2.0NRT,293.2,3.18,D
-1.16804,136.19864,326.27,0.34,0.56,2026-08-28,357,N,VIIRS,n,2.0NRT,293.21,2.44,D
-1.15579,136.17471,329.99,0.34,0.56,2026-08-28,357,N,VIIRS,n,2.0NRT,290.4,2.17,D
-1.15532,136.17778,326.44,0.34,0.56,2026-08-28,357,N,VIIRS,n,2.0NRT,291.83,2.17,D
-1.12696,136.04866,335.77,0.35,0.57,2026-08-28,357,N,VIIRS,n,2.0NRT,288.32,5.79,D
