latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.12413,136.19351,333.62,0.53,0.5,2023-10-09,449,N,VIIRS,n,2,296.01,4.13,D,0
-1.0485,135.96083,332.55,0.51,0.5,2023-10-09,449,N,VIIRS,n,2,294.7,4.61,D,0
-1.02963,135.93495,333.39,0.51,0.5,2023-10-09,449,N,VIIRS,n,2,295.58,3.05,D,0
-1.0239,136.03447,334.77,0.52,0.5,2023-10-09,449,N,VIIRS,n,2,294.29,3.89,D,0
-1.02285,136.03334,336.82,0.52,0.5,2023-10-09,449,N,VIIRS,n,2,295.16,5.36,D,0
-1.17018,135.89203,332.41,0.41,0.37,2023-10-10,430,N,VIIRS,n,2,296.56,2.75,D,0
-1.02715,135.95842,332.76,0.42,0.38,2023-10-10,430,N,VIIRS,n,2,297.61,2.27,D,0
