latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.02858,135.92235,331.6,0.57,0.52,2024-10-30,352,N,VIIRS,n,2,295.66,7.79,D,0
-0.99284,136.06325,326.27,0.56,0.51,2024-10-30,352,N,VIIRS,n,2,294.53,4.38,D,0
-1.14487,136.03528,309.36,0.4,0.37,2024-10-31,1614,N,VIIRS,n,2,292.79,1.33,N,0
-1.14643,136.03638,331.86,0.33,0.55,2024-11-01,454,N,VIIRS,n,2,292.42,1.73,D,3
-1.11689,136.18755,330.67,0.34,0.56,2024-11-01,454,N,VIIRS,n,2,291.23,2.52,D,0
