latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-1.14842,136.09808,333.06,0.39,0.36,2026-06-23,434,N,VIIRS,n,2.0NRT,297.97,4.14,D
-1.14789,136.10159,332.59,0.39,0.36,2026-06-23,434,N,VIIRS,n,2.0NRT,298.38,5.52,D
-1.12665,136.19528,345.24,0.39,0.36,2026-06-23,434,N,VIIRS,n,2.0NRT,299.5,11.54,D
-1.11325,136.19327,330.26,0.39,0.36,2026-06-23,434,N,VIIRS,n,2.0NRT,298.47,2.64,D
-1.05627,136.0618,332.69,0.39,0.36,2026-06-23,434,N,VIIRS,n,2.0NRT,294.66,1.32,D
-0.96271,136.05418,337.98,0.39,0.36,2026-06-23,434,N,VIIRS,n,2.0NRT,298.61,3.69,D
-0.96019,136.00366,331.63,0.39,0.36,2026-06-23,434,N,VIIRS,n,2.0NRT,295.48,3.74,D
-0.91203,136.05009,333.12,0.39,0.36,2026-06-23,434,N,VIIRS,n,2.0NRT,298.92,1.81,D
-0.90868,136.04961,334.25,0.39,0.36,2026-06-23,434,N,VIIRS,n,2.0NRT,300.04,5.36,D
