latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.13494,136.03891,339.91,0.41,0.45,2023-10-28,442,N20,VIIRS,n,2,288.89,4.52,D,0
-1.12756,135.96422,341.79,0.39,0.36,2023-10-29,423,N20,VIIRS,n,2,298.31,4.37,D,0
-1.11519,135.93416,344.35,0.39,0.36,2023-10-29,423,N20,VIIRS,n,2,297.25,4.75,D,0
-1.11483,135.95879,334.06,0.39,0.36,2023-10-29,423,N20,VIIRS,n,2,299.18,4.32,D,0
-1.10978,135.94745,334.62,0.39,0.36,2023-10-29,423,N20,VIIRS,n,2,299.48,3.04,D,0
